apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
1.8,Purdue University,1980,705,22838,32.4,Joe Barry Carroll,17.7,1,7.7,GSW,35.6,.075,10
2.1,University of Louisville,1980,765,21403,28.0,Darrell Griffith,16.2,2,3.3,UTA,22.0,.049,10
1.7,University of Minnesota,1980,971,30118,31.0,Kevin McHale,17.9,3,7.3,BOS,113.0,.180,13
5.2,Ohio State University,1980,474,11586,24.4,Kelvin Ransey,11.4,4,1.9,CHI,17.9,.074,6
0.7,Jacksonville University,1980,103,843,8.2,James Ray,3.2,5,2.2,DEN,-0.3,-0.017,3
2.1,University of North Carolina,1980,407,8810,21.6,Mike O'Koren,8.2,6,3.4,NJN,14.6,.080,8
1.3,Duke University,1980,938,24058,25.6,Mike Gminski,11.7,7,6.9,NJN,55.9,.111,14
4.2,University of Louisiana at Lafayette,1980,468,12608,26.9,Andrew Toney,15.9,8,2.2,PHI,26.9,.103,8
2.6,La Salle University,1980,319,9372,29.4,Michael Brooks,12.8,9,6.3,SDC,16.5,.085,6
4.0,University of Iowa,1980,250,4959,19.8,Ronnie Lester,7.3,10,1.9,POR,6.3,.061,6
2.1,"University of California, Los Angeles",1980,810,24521,30.3,Kiki Vandeweghe,19.7,11,3.4,DAL,75.6,.148,13
2.3,Indiana University,1980,786,20021,25.5,Mike Woodson,14.0,12,2.3,NYK,34.6,.083,11
0.4,Mississippi State University,1980,340,4487,13.2,Rickey Brown,4.4,13,3.5,GSW,4.7,.051,5
4.2,University of Wisconsin,1980,465,9305,20.0,Wes Matthews,7.9,14,1.3,WSB,11.0,.057,9
0.9,University of Tennessee,1980,305,5979,19.6,Reggie Johnson,8.4,15,4.1,SAS,11.0,.088,4
1.2,North Carolina State University,1980,70,1048,15.0,Hawkeye Whitney,5.8,16,2.1,KCK,1.3,.062,2
5.2,University of Missouri,1980,714,18370,25.7,Larry Drew,11.4,17,1.8,DET,24.4,.064,10
1.8,Washington State University,1980,303,6134,20.2,Don Collins,9.8,18,2.8,ATL,10.5,.082,6
2.0,Georgetown University,1980,201,2947,14.7,John Duren,3.5,19,1.1,UTA,-0.8,-0.014,3
2.8,University of Notre Dame,1980,748,15534,20.8,Bill Hanzlik,7.2,20,2.8,SEA,24.7,.076,10
0.0,Tennessee State University,1980,2,10,5.0,Monti Davis,1.5,21,2.0,PHI,-0.1,-0.311,1
1.1,University of North Carolina at Charlotte,1980,41,353,8.6,Chad Kinch,2.9,22,0.8,CLE,-0.5,-0.071,1
1.6,Indiana State University,1980,156,2579,16.5,Carl Nicks,6.8,23,1.9,DEN,-0.4,-0.007,3
1.1,Alcorn State University,1980,883,22879,25.9,Larry Smith,6.7,24,9.2,GSW,46.0,.096,13
3.0,Iona College,1980,332,11088,33.4,Jeff Ruland,17.4,25,10.2,GSW,34.3,.149,8
1.7,Marquette University,1980,69,967,14.0,Sam Worthen,3.5,26,1.7,CHI,0.7,.032,2
1.0,University of Mississippi,1980,9,88,9.8,John Stroud,2.8,27,1.4,HOU,-0.1,-0.036,1
0.5,Georgetown University,1980,59,607,10.3,Craig Shelton,4.1,28,2.4,ATL,0.0,-0.001,2
1.5,Syracuse University,1980,569,13353,23.5,Louis Orr,9.7,29,3.7,IND,25.7,.093,8
0.8,University of Louisiana at Monroe,1980,49,388,7.9,Kenny Natt,3.1,30,0.8,IND,-0.2,-0.026,3
1.4,Virginia Polytechnic Institute and State University,1980,81,1592,19.7,Wayne Robinson,7.9,31,3.6,LAL,1.7,.052,1
,McNeese State University,1980,,,,David Lawrence,,32,,POR,,,
,Weber State University,1980,,,,Bruce Collins,,33,,POR,,,
,Syracuse University,1980,,,,Roosevelt Bouie,,34,,DAL,,,
